MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,4.31748811353631,8.967631665167133,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkFace,5.318119993844216,TA,TA,CBlock,TA,TA,No,ALQ,209,Unf,0.0,463,672,GasA,TA,Y,SBrkr,672,728,0.0,1400,0,0.0,1,1,3,0.6931471805599453,TA,6,Typ,1,TA,Attchd,1978.0,Fin,2,440,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,3,2006,WD,Normal,149500
70,RL,4.465908118654584,10.017753298664472,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,2Story,6,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,None,0.0,TA,TA,BrkTil,Gd,TA,No,BLQ,1128,Unf,0.0,242,1370,GasW,TA,N,FuseA,1370,1254,0.0,2624,1,0.0,2,1,4,0.6931471805599453,TA,10,Typ,1,Gd,Detchd,1918.0,Unf,3,864,TA,TA,N,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,11,2007,WD,Normal,239000
50,RL,4.110873864173311,9.007121989469242,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,ALQ,312,Unf,0.0,444,756,GasA,Fa,N,FuseF,756,378,0.0,1134,1,0.0,1,1,3,0.6931471805599453,TA,7,Typ,0,NA,Detchd,1940.0,Unf,1,240,TA,TA,P,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,4,2007,WD,AdjLand,126000
20,RL,4.189654742026425,9.042040056544483,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,775,Unf,0.0,281,1056,GasA,Ex,Y,SBrkr,1056,0,0.0,1056,1,0.0,1,0,3,0.6931471805599453,TA,6,Typ,1,Fa,Attchd,1968.0,Unf,1,304,TA,TA,Y,0,4.454347296253507,5.220355825078324,0.0,0.0,0.0,NA,NA,NA,0.0,7,2010,WD,Normal,142000
90,RM,4.3694478524670215,8.862341963516347,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.303304908059076,TA,Gd,PConc,Gd,Gd,Gd,GLQ,1309,Unf,0.0,35,1344,GasA,Ex,Y,SBrkr,1344,0,0.0,1344,2,0.0,2,0,2,1.0986122886681098,TA,8,Typ,0,NA,Attchd,1997.0,Fin,4,784,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,11,2008,WD,Alloca,206300
20,RL,4.248495242049359,9.719324300862802,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2000,Gable,CompShg,CemntBd,CmentBd,Stone,4.844187086458591,Gd,TA,CBlock,Gd,TA,No,ALQ,1246,Unf,0.0,356,1602,GasA,Gd,Y,SBrkr,1602,0,0.0,1602,0,0.6931471805599453,2,0,3,0.6931471805599453,Gd,8,Typ,1,TA,Attchd,1977.0,Fin,2,529,TA,TA,Y,240,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2009,WD,Normal,215000
20,RL,4.61512051684126,9.987415012471414,Pave,NA,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,5,5,1954,1954,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0.0,988,988,GasA,Ex,Y,FuseA,988,0,0.0,988,0,0.0,1,0,2,0.6931471805599453,TA,4,Typ,0,NA,Attchd,1954.0,RFn,2,520,TA,TA,N,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,2,2008,WD,Normal,113000
60,RL,4.394449154672439,9.127067452782361,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,6.161207321695077,Gd,TA,PConc,Gd,TA,No,GLQ,986,Unf,0.0,484,1470,GasA,Gd,Y,SBrkr,1470,1160,0.0,2630,1,0.0,2,1,4,0.6931471805599453,Gd,8,Typ,1,TA,Attchd,1998.0,Fin,3,696,TA,TA,Y,0,4.204692619390966,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2008,WD,Normal,315000
20,RL,4.290459441148391,9.105090961257085,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,4.31748811353631,TA,TA,CBlock,Gd,TA,No,LwQ,616,Unf,0.0,580,1196,GasA,Gd,Y,FuseA,1196,0,0.0,1196,1,0.0,1,0,2,0.6931471805599453,TA,6,Typ,1,Gd,Attchd,1956.0,RFn,1,297,TA,TA,Y,0,3.8066624897703196,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,5,2008,WD,Normal,139000
60,RM,4.110873864173311,8.12533508671429,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0.0,651,651,GasA,Gd,Y,SBrkr,707,682,0.0,1389,0,0.0,1,1,3,0.6931471805599453,TA,6,Typ,2,Gd,Detchd,1947.0,Unf,1,240,TA,TA,P,0,0.0,4.844187086458591,0.0,0.0,0.0,NA,NA,NA,0.0,9,2009,WD,Normal,135000
80,RL,4.248495242049359,9.45727857185611,Pave,NA,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,4.983606621708336,Gd,TA,PConc,Gd,TA,Gd,GLQ,1518,Unf,0.0,0,1518,GasA,Gd,Y,SBrkr,1644,0,0.0,1644,1,0.6931471805599453,2,0,2,0.6931471805599453,Gd,5,Typ,1,TA,Attchd,1989.0,Fin,2,569,TA,TA,Y,80,0.0,0.0,0.0,5.983936280687191,0.0,NA,NA,NA,0.0,8,2009,WD,Normal,275000
20,RL,4.356708826689592,9.058819564334941,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,288,Unf,0.0,619,907,GasA,Ex,Y,SBrkr,907,0,0.0,907,0,0.0,1,0,3,0.6931471805599453,TA,5,Typ,0,NA,Detchd,1964.0,Unf,1,352,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7,2008,WD,Normal,109008
20,RL,4.174387269895637,8.81922185757494,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,4.6913478822291435,Gd,TA,PConc,Gd,TA,No,GLQ,664,Unf,0.0,544,1208,GasA,Ex,Y,SBrkr,1208,0,0.0,1208,1,0.0,2,0,2,0.6931471805599453,Gd,6,Typ,0,NA,Attchd,2007.0,RFn,2,628,TA,TA,Y,105,4.007333185232471,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,9,2007,New,Partial,195400
20,RL,4.875197323201151,9.346443454968522,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Mn,GLQ,1005,Unf,0.0,387,1392,GasA,TA,Y,SBrkr,1412,0,0.0,1412,1,0.0,2,0,3,0.6931471805599453,Gd,6,Typ,1,TA,Attchd,1988.0,Unf,2,576,TA,TA,Y,0,0.0,5.135798437050262,0.0,0.0,0.0,NA,NA,NA,0.0,3,2009,WD,Normal,175000
160,RM,3.091042453358316,7.427144133408616,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,5.4510384535657,TA,TA,CBlock,TA,TA,No,ALQ,387,Unf,0.0,96,483,GasA,TA,Y,SBrkr,483,504,0.0,987,0,0.0,1,1,2,0.6931471805599453,TA,4,Typ,0,NA,Detchd,1971.0,Unf,1,264,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7,2008,COD,Abnorml,85400
50,RM,4.110873864173311,8.628197749459149,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0.0,901,901,GasA,Gd,Y,SBrkr,1088,110,0.0,1198,0,0.0,1,0,4,0.6931471805599453,TA,7,Typ,0,NA,NA,0.0,NA,0,0,NA,NA,N,0,4.59511985013459,0.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,9,2008,ConLD,Abnorml,79900
160,RM,3.2188758248682006,7.560601162768557,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,5.932245187448011,TA,TA,CBlock,TA,TA,No,ALQ,471,Unf,0.0,294,765,GasA,Ex,Y,SBrkr,765,600,0.0,1365,1,0.0,1,1,2,0.6931471805599453,TA,6,Min1,0,NA,Detchd,1971.0,Unf,2,440,TA,TA,Y,240,3.6109179126442243,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,8,2007,WD,Normal,122500
60,RL,4.61512051684126,9.290998274993637,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0.0,926,926,GasA,Ex,Y,SBrkr,926,678,0.0,1604,0,0.0,2,1,3,0.6931471805599453,TA,7,Typ,1,TA,Attchd,1997.0,Fin,2,470,TA,TA,Y,0,3.6109179126442243,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7,2008,WD,Normal,181000
180,RM,3.091042453358316,7.544861068658458,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,Gd,TA,Av,ALQ,495,Unf,0.0,135,630,GasA,Gd,Y,SBrkr,630,0,0.0,630,1,0.0,1,0,1,0.6931471805599453,TA,3,Typ,0,NA,NA,0.0,NA,0,0,NA,NA,Y,88,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2008,WD,Normal,81000
60,RL,3.784189633918261,9.275003885301905,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,385,ALQ,5.84354441703136,70,799,GasA,Ex,Y,SBrkr,827,834,0.0,1661,1,0.0,2,1,3,0.6931471805599453,Gd,6,Typ,1,TA,Attchd,1996.0,RFn,2,550,TA,TA,Y,158,4.127134385045092,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,4,2009,ConLw,Normal,212000
50,RM,3.713572066704308,8.38958706681109,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0.0,648,648,GasA,TA,Y,FuseA,734,384,0.0,1118,0,0.0,1,0,2,0.6931471805599453,TA,6,Typ,0,NA,Detchd,1990.0,Unf,2,440,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,10,2006,WD,Normal,116000
45,RM,3.9318256327243257,8.699681400989514,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,PConc,TA,TA,No,Unf,0,Unf,0.0,884,884,GasA,Gd,Y,SBrkr,904,0,0.0,904,0,0.0,1,0,2,0.6931471805599453,TA,4,Typ,0,NA,Detchd,1926.0,Unf,1,180,TA,TA,Y,0,0.0,4.663439094112067,0.0,0.0,0.0,NA,NA,NA,0.0,1,2009,WD,Normal,119000
30,RL,3.713572066704308,8.361941906144946,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,None,0.0,TA,TA,PConc,TA,TA,No,LwQ,365,Unf,0.0,75,440,GasA,TA,N,SBrkr,694,0,0.0,694,0,0.0,1,0,2,0.6931471805599453,Gd,4,Typ,1,Gd,Detchd,1990.0,Unf,1,352,Gd,TA,P,0,0.0,3.5553480614894135,0.0,0.0,0.0,NA,MnPrv,NA,0.0,3,2007,WD,Normal,90350
50,RL,4.219507705176107,9.42181611842271,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Fa,Mn,Unf,0,Unf,0.0,684,684,GasA,Gd,Y,SBrkr,684,512,0.0,1196,0,0.0,1,0,3,0.6931471805599453,Gd,7,Typ,0,NA,Detchd,2005.0,Unf,2,528,TA,TA,Y,0,3.8501476017100584,0.0,0.0,0.0,0.0,NA,GdPrv,Shed,6.68586094706836,8,2009,ConLI,Normal,110000
20,RL,4.663439094112067,9.644198554585564,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,5.303304908059076,Ex,TA,PConc,Ex,TA,Gd,GLQ,1767,ALQ,6.29156913955832,788,3094,GasA,Ex,Y,SBrkr,2402,0,0.0,2402,1,0.0,2,0,2,0.6931471805599453,Ex,10,Typ,2,Gd,Attchd,2008.0,Fin,3,672,TA,TA,Y,0,4.290459441148391,0.0,0.0,5.14166355650266,0.0,NA,NA,NA,0.0,4,2009,WD,Normal,555000
90,RL,4.532599493153256,9.401704256754366,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.602118820879701,TA,TA,CBlock,TA,TA,No,ALQ,133,Unf,0.0,1307,1440,GasA,TA,N,FuseF,1440,0,0.0,1440,0,0.0,2,0,4,1.0986122886681098,Fa,8,Typ,0,NA,NA,0.0,NA,0,0,NA,NA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,9,2008,WD,Normal,118000
50,RM,3.970291913552122,8.738895704934043,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0.0,1078,1078,GasA,TA,Y,SBrkr,1128,445,0.0,1573,0,0.0,2,0,3,0.6931471805599453,TA,8,Typ,1,Gd,Detchd,1930.0,Unf,2,360,TA,TA,P,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2008,WD,Normal,162900
120,RL,3.9889840465642745,8.274611946209552,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,WdShing,Wd Shng,BrkFace,4.290459441148391,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0.0,1258,1258,GasA,Ex,Y,SBrkr,1258,0,0.0,1258,0,0.0,2,0,2,0.6931471805599453,Gd,6,Typ,1,Gd,Attchd,2007.0,Fin,3,648,TA,TA,Y,144,2.833213344056216,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2007,New,Partial,172500
60,RL,4.2626798770413155,9.076923258535832,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Gd,TA,No,GLQ,642,Unf,0.0,273,915,GasA,Ex,Y,SBrkr,933,975,0.0,1908,1,0.0,2,1,4,0.6931471805599453,Gd,8,Typ,1,TA,Attchd,1994.0,Unf,2,493,TA,TA,Y,144,4.897839799950911,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7,2008,WD,Normal,210000
20,RL,4.30406509320417,9.1958356857733,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0.0,1436,1436,GasA,Fa,Y,SBrkr,1689,0,0.0,1689,0,0.0,1,0,3,0.6931471805599453,TA,7,Typ,1,Gd,Attchd,1956.0,Unf,2,480,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,11,2009,COD,Normal,127500
20,RL,4.927253685157205,9.710691327448153,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247,Rec,6.570882962339584,557,1517,GasA,Ex,Y,SBrkr,1888,0,0.0,1888,0,0.0,2,1,2,0.6931471805599453,Gd,6,Mod,1,Gd,Attchd,1966.0,Fin,2,578,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2010,WD,Normal,190000
60,RL,4.248495242049359,9.32500744695431,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0.0,930,930,GasA,Gd,Y,SBrkr,956,930,0.0,1886,0,0.0,2,1,4,0.6931471805599453,Gd,10,Typ,1,TA,Attchd,1998.0,Fin,2,431,TA,TA,Y,89,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7,2006,WD,Normal,199900
50,RM,3.9318256327243257,9.059633754551479,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0.0,780,780,GasA,TA,Y,SBrkr,780,596,0.0,1376,0,0.0,2,0,3,0.6931471805599453,TA,7,Typ,1,Gd,Detchd,1937.0,Unf,1,198,TA,TA,N,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2006,WD,Normal,119500
50,RM,3.9318256327243257,8.699681400989514,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,331,Unf,0.0,318,649,GasA,Ex,Y,SBrkr,679,504,0.0,1183,0,0.0,1,1,2,0.6931471805599453,TA,6,Typ,0,NA,Detchd,1981.0,Unf,1,308,TA,TA,Y,0,5.176149732573829,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2007,WD,Normal,120000
30,RM,4.2626798770413155,8.645586406184636,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0.0,813,813,GasA,Ex,Y,FuseA,813,0,0.0,813,0,0.0,1,0,2,0.6931471805599453,Gd,5,Typ,0,NA,Detchd,1932.0,Unf,1,270,Fa,Fa,N,0,4.736198448394496,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2006,WD,Normal,110000
20,RL,4.143134726391533,11.167077412430533,Pave,NA,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,655,Unf,0.0,878,1533,GasA,TA,Y,SBrkr,1533,0,0.0,1533,1,0.0,2,0,2,0.6931471805599453,Gd,5,Typ,2,TA,Attchd,1975.0,Unf,2,576,TA,TA,Y,200,4.007333185232471,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,12,2006,WD,Normal,280000
60,RL,4.248495242049359,9.1381996941985,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,3.7612001156935624,Gd,TA,PConc,Ex,TA,No,ALQ,742,Unf,0.0,130,872,GasA,Ex,Y,SBrkr,888,868,0.0,1756,1,0.0,2,1,3,0.6931471805599453,TA,7,Typ,0,NA,Attchd,1996.0,Fin,2,422,TA,TA,Y,144,4.812184355372417,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7,2007,WD,Normal,204000
60,FV,4.330733340286331,9.105090961257085,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0.0,768,768,GasA,Ex,Y,SBrkr,786,804,0.0,1590,0,0.0,2,1,3,0.6931471805599453,Gd,6,Typ,0,NA,Attchd,2008.0,RFn,2,676,TA,TA,Y,0,3.4339872044851463,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2009,WD,Normal,210000
90,RL,4.1588830833596715,9.13755460225053,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,5,1976,1976,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,1606,Unf,0.0,122,1728,GasA,TA,Y,SBrkr,1728,0,0.0,1728,2,0.0,2,0,4,1.0986122886681098,TA,8,Typ,0,NA,Detchd,1976.0,Unf,2,560,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7,2006,WD,Family,188000
20,RL,4.394449154672439,9.169622538697624,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,5.771441123130016,TA,TA,CBlock,TA,TA,No,ALQ,916,Unf,0.0,326,1242,GasA,Fa,Y,SBrkr,1242,0,0.0,1242,0,0.0,1,1,3,0.6931471805599453,TA,6,Typ,1,TA,Attchd,1973.0,Unf,2,528,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,9,2007,WD,Normal,175500
70,RM,3.5553480614894135,8.427706024914702,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0.0,624,624,GasA,Fa,N,SBrkr,624,720,0.0,1344,0,0.0,1,0,4,0.6931471805599453,TA,7,Typ,0,NA,Detchd,1916.0,Unf,3,513,Fa,Fa,Y,0,0.0,4.574710978503383,0.0,0.0,0.0,NA,NA,NA,0.0,5,2008,COD,Abnorml,98000
20,RL,4.248495242049359,10.882339852663634,Pave,NA,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,BLQ,1116,Unf,0.0,248,1364,GasA,Ex,Y,SBrkr,1663,0,0.0,1663,1,0.0,1,0,2,0.6931471805599453,Gd,6,Min1,2,Gd,Attchd,1954.0,Fin,2,529,TA,TA,Y,224,4.927253685157205,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,3,2008,WD,Normal,256000
70,RM,4.248495242049359,8.537191877922927,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,CompShg,Stucco,Wd Shng,None,0.0,TA,Gd,PConc,TA,TA,No,Unf,0,Unf,0.0,588,588,GasA,Fa,Y,SBrkr,833,833,0.0,1666,0,0.0,1,0,3,0.6931471805599453,Gd,7,Typ,1,Gd,Detchd,1925.0,Unf,1,228,TA,TA,Y,192,4.1588830833596715,0.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,6,2008,WD,Normal,161000
50,RL,4.248495242049359,8.855948534052018,Pave,NA,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950,Gable,CompShg,MetalSd,MetalSd,BrkCmn,5.087596335232384,TA,TA,CBlock,TA,TA,No,LwQ,185,Unf,0.0,524,709,GasA,TA,Y,SBrkr,979,224,0.0,1203,1,0.0,1,0,3,0.6931471805599453,Gd,5,Typ,1,TA,Detchd,1950.0,Unf,1,352,TA,TA,Y,0,0.0,5.517452896464707,0.0,0.0,0.0,NA,NA,NA,0.0,7,2009,WD,Normal,110000
60,FV,4.330733340286331,8.987821625430815,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,8,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,4.709530201312334,Gd,TA,PConc,Gd,TA,No,GLQ,544,Unf,0.0,288,832,GasA,Ex,Y,SBrkr,832,1103,0.0,1935,1,0.0,2,1,3,0.6931471805599453,TA,8,Typ,0,NA,BuiltIn,2009.0,Fin,2,552,TA,TA,Y,0,5.017279836814924,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,12,2009,New,Partial,263435
